date,token_symbol,token_name,open,high,low,close,volume,market_cap,source
2025-03-08,MONERO,,216.81000000,228.37000000,214.71000000,220.49000000,44170224.00,4067351841.00,CoinMarketCap
2025-03-07,MONERO,,228.51000000,229.60000000,216.78000000,216.81000000,67937288.00,3999391385.00,CoinMarketCap
2025-03-06,MONERO,,227.28000000,234.10000000,224.58000000,228.51000000,74522973.00,4215320673.00,CoinMarketCap
2025-03-05,MONERO,,224.15000000,229.40000000,222.83000000,227.27000000,75173405.00,4192411496.00,CoinMarketCap
2025-03-04,MONERO,,218.53000000,224.39000000,211.53000000,224.16000000,72327803.00,4134920997.00,CoinMarketCap
2025-03-03,MONERO,,229.63000000,234.24000000,214.36000000,218.53000000,74870798.00,4031235116.00,CoinMarketCap
2025-03-02,MONERO,,223.41000000,230.48000000,222.27000000,229.63000000,63551451.00,4235910456.00,CoinMarketCap
2025-03-01,MONERO,,217.19000000,226.68000000,216.49000000,223.41000000,63201578.00,4121196077.00,CoinMarketCap
2025-02-28,MONERO,,208.96000000,219.24000000,205.64000000,217.19000000,85212869.00,4006367310.00,CoinMarketCap
2025-02-27,MONERO,,213.75000000,216.18000000,206.77000000,208.96000000,48767945.00,3854559275.00,CoinMarketCap
2025-02-26,MONERO,,216.15000000,224.49000000,210.54000000,213.75000000,53067403.00,3943008772.00,CoinMarketCap
2025-02-25,MONERO,,226.81000000,230.98000000,212.75000000,216.15000000,64591154.00,3987292345.00,CoinMarketCap
2025-02-24,MONERO,,236.33000000,237.59000000,226.72000000,226.81000000,58722047.00,4183980031.00,CoinMarketCap
2025-02-23,MONERO,,234.76000000,237.78000000,231.94000000,236.33000000,49582273.00,4359463751.00,CoinMarketCap
2025-02-22,MONERO,,233.37000000,237.32000000,230.63000000,234.76000000,52018285.00,4330526692.00,CoinMarketCap
2025-02-21,MONERO,,229.15000000,238.47000000,227.30000000,233.37000000,67633392.00,4304940806.00,CoinMarketCap
2025-02-20,MONERO,,239.20000000,239.54000000,227.75000000,229.15000000,73691330.00,4227152181.00,CoinMarketCap
2025-02-19,MONERO,,237.14000000,241.58000000,233.36000000,239.20000000,68877208.00,4412373553.00,CoinMarketCap
2025-02-18,MONERO,,238.59000000,239.10000000,229.40000000,237.16000000,65188534.00,4374368664.00,CoinMarketCap
2025-02-17,MONERO,,229.68000000,238.83000000,229.27000000,238.59000000,65454058.00,4401167044.00,CoinMarketCap
2025-02-16,MONERO,,230.35000000,235.34000000,227.73000000,229.68000000,53609102.00,4236915636.00,CoinMarketCap
2025-02-15,MONERO,,229.35000000,237.47000000,228.81000000,230.35000000,60068433.00,4249115849.00,CoinMarketCap
2025-02-14,MONERO,,224.56000000,231.88000000,224.54000000,229.35000000,49737752.00,4230682252.00,CoinMarketCap
2025-02-13,MONERO,,227.05000000,228.32000000,222.12000000,224.56000000,57976243.00,4142406290.00,CoinMarketCap
2025-02-12,MONERO,,222.72000000,227.82000000,219.54000000,227.05000000,59709667.00,4188423274.00,CoinMarketCap
2025-02-11,MONERO,,221.55000000,227.39000000,219.01000000,222.66000000,63772029.00,4108480253.00,CoinMarketCap
2025-02-10,MONERO,,220.12000000,225.77000000,219.16000000,221.55000000,72270485.00,4086905142.00,CoinMarketCap
2025-02-09,MONERO,,213.94000000,222.97000000,213.66000000,220.12000000,53452820.00,4060412466.00,CoinMarketCap
2025-02-08,MONERO,,205.21000000,219.50000000,204.82000000,213.94000000,54420253.00,3946438797.00,CoinMarketCap
2025-02-07,MONERO,,222.46000000,228.28000000,195.42000000,205.21000000,75256147.00,3785498293.00,CoinMarketCap
2025-02-06,MONERO,,227.06000000,239.02000000,220.81000000,222.46000000,74923577.00,4103578475.00,CoinMarketCap
2025-02-05,MONERO,,220.14000000,229.21000000,217.63000000,227.07000000,61807266.00,4188619260.00,CoinMarketCap
2025-02-04,MONERO,,225.93000000,235.05000000,216.40000000,220.14000000,85714999.00,4060916660.00,CoinMarketCap
2025-02-03,MONERO,,221.24000000,227.03000000,194.74000000,225.93000000,111469714.00,4167627008.00,CoinMarketCap
2025-02-02,MONERO,,234.28000000,239.64000000,216.77000000,221.23000000,72052472.00,4081056321.00,CoinMarketCap
2025-02-01,MONERO,,238.59000000,242.04000000,232.30000000,234.28000000,74660857.00,4321632425.00,CoinMarketCap
2025-01-31,MONERO,,232.68000000,239.88000000,231.50000000,238.59000000,73322287.00,4401127883.00,CoinMarketCap
2025-01-30,MONERO,,221.93000000,243.03000000,221.83000000,232.68000000,90814602.00,4292120823.00,CoinMarketCap
2025-01-29,MONERO,,218.09000000,225.42000000,216.37000000,221.93000000,67894805.00,4093806398.00,CoinMarketCap
